"gene","cv_g1","cv_g2","max_cv","pair"
"MB",26.228516056814,14.6062684975737,26.228516056814,"CRE: T1 vs T2"
"CKM",10.4921521568555,12.0216932782139,12.0216932782139,"CRE: T1 vs T2"
"ALDOA",9.95914375881141,14.9055703033148,14.9055703033148,"CRE: T1 vs T2"
"GAPDH",14.3560031965088,16.8439092835713,16.8439092835713,"CRE: T1 vs T2"
"CKB",36.0944694464385,33.8525467010656,36.0944694464385,"CRE: T1 vs T2"
"CA3",33.409656258609,18.1533664517384,33.409656258609,"CRE: T1 vs T2"
"FHL1",33.6528540648877,23.1535270349358,33.6528540648877,"CRE: T1 vs T2"
"ACTA1",27.9831270422762,128.957658795799,128.957658795799,"CRE: T1 vs T2"
"ENO1",17.7787288233093,31.2756941884556,31.2756941884556,"CRE: T1 vs T2"
"ENO3",21.2672335576636,22.0806886613418,22.0806886613418,"CRE: T1 vs T2"
"ACTB",54.8572616658998,85.2382770237578,85.2382770237578,"CRE: T1 vs T2"
"PRDX2",91.2338287027163,78.2298855103595,91.2338287027163,"CRE: T1 vs T2"
"PKM",15.2370733679549,17.6148293541525,17.6148293541525,"CRE: T1 vs T2"
"TPI1",13.1531359426289,17.3626731527485,17.3626731527485,"CRE: T1 vs T2"
"ENO2",40.908956010713,27.0184229466199,40.908956010713,"CRE: T1 vs T2"
"PGAM1",15.4212297863972,24.1117399528816,24.1117399528816,"CRE: T1 vs T2"
"CASQ1",15.7734323246851,26.0093086018561,26.0093086018561,"CRE: T1 vs T2"
"PGK1",13.1611493574627,22.5552989535805,22.5552989535805,"CRE: T1 vs T2"
"HSPB1",34.6400034242981,28.7610226233785,34.6400034242981,"CRE: T1 vs T2"
"MYL1",42.9587851456057,103.077189595078,103.077189595078,"CRE: T1 vs T2"
"PYGM",25.6174862904484,21.9729984830048,25.6174862904484,"CRE: T1 vs T2"
"CRYAB",24.6480946698942,13.9380030088851,24.6480946698942,"CRE: T1 vs T2"
"LDHA",28.4927188307967,45.1157592219789,45.1157592219789,"CRE: T1 vs T2"
"MYL2",50.3632825115521,80.4720611382372,80.4720611382372,"CRE: T1 vs T2"
"AK1",13.4213192497793,21.8957265395569,21.8957265395569,"CRE: T1 vs T2"
"FABP4",94.6182867321074,76.2131518173635,94.6182867321074,"CRE: T1 vs T2"
"FABP3",19.0836487535802,26.4489513006419,26.4489513006419,"CRE: T1 vs T2"
"ATP2A1",23.6494784939196,30.4305032200549,30.4305032200549,"CRE: T1 vs T2"
"CA2",81.6531203873467,72.342760083112,81.6531203873467,"CRE: T1 vs T2"
"MDH1",17.9459692821351,22.5908616084215,22.5908616084215,"CRE: T1 vs T2"
"MYH7",57.790171037879,121.127689227576,121.127689227576,"CRE: T1 vs T2"
"PGAM2",16.1071034514731,22.0687209327378,22.0687209327378,"CRE: T1 vs T2"
