"gene","cv_t1","cv_t2","delta_cv","supplement"
"MB",26.1656921576764,29.552180997867,3.38648884019065,"CRE"
"CKM",11.1345507008966,12.7384022123503,1.60385151145371,"CRE"
"ALDOA",10.67192937561,17.0399999780595,6.36807060244947,"CRE"
"GAPDH",14.5735641421737,19.9557679446046,5.38220380243088,"CRE"
"CKB",35.5807702632755,30.9388121078489,-4.64195815542656,"CRE"
"CA3",33.3283349901944,26.5711635996575,-6.75717139053688,"CRE"
"FHL1",34.1443465804631,22.6651822898956,-11.4791642905675,"CRE"
"ACTA1",27.5690895747024,121.680062956452,94.1109733817494,"CRE"
"ENO1",17.1276991892848,75.1073474644381,57.9796482751533,"CRE"
"ENO3",21.5681068607577,33.9162792232797,12.348172362522,"CRE"
"ACTB",53.567813466475,112.86252329085,59.294709824375,"CRE"
"PRDX2",89.9077306619681,166.445103522697,76.537372860729,"CRE"
"PKM",15.2168741513332,15.8794786420137,0.662604490680573,"CRE"
"TPI1",13.7430673873278,16.7113983582736,2.9683309709458,"CRE"
"ENO2",41.4297854907848,38.33337259575,-3.09641289503475,"CRE"
"PGAM1",14.427961117313,39.4526236656577,25.0246625483447,"CRE"
"CASQ1",16.5936472505312,24.113778538717,7.52013128818577,"CRE"
"PGK1",12.8188179922931,26.7082030192392,13.8893850269461,"CRE"
"HSPB1",34.437989410622,38.0263262840327,3.58833687341077,"CRE"
"MYL1",43.103567719258,106.081075448145,62.9775077288867,"CRE"
"PYGM",24.7208286000648,34.0152331058828,9.29440450581802,"CRE"
"CRYAB",24.5798032967945,30.0988125173817,5.5190092205872,"CRE"
"LDHA",28.0296396968435,44.5650033425431,16.5353636456995,"CRE"
"MYL2",49.2225299227831,78.1052422228032,28.8827123000201,"CRE"
"AK1",12.9917067348728,21.1673353992985,8.17562866442571,"CRE"
"FABP4",92.862907161818,204.088398033821,111.225490872003,"CRE"
"FABP3",20.0125023729753,41.2292898381032,21.2167874651279,"CRE"
"ATP2A1",22.582658357577,36.2660793474554,13.6834209898783,"CRE"
"CA2",79.5975798092816,158.618159832953,79.0205800236716,"CRE"
"MDH1",19.2314065720477,28.58328593842,9.35187936637233,"CRE"
"MYH7",58.2469734051783,131.003760961227,72.7567875560489,"CRE"
"PGAM2",16.1972801435402,37.7131130067796,21.5158328632394,"CRE"
"PYGB",18.1660797487768,26.8657139775811,8.69963422880435,"CRE"
"PRDX6",18.591762525849,56.6510647684245,38.0593022425755,"CRE"
"IDH2",44.606662011742,39.0514219255721,-5.55524008616994,"CRE"
"MYH2",45.8821947661761,154.421029374267,108.538834608091,"CRE"
"ATP2A2",27.4941288908308,43.0875570055265,15.5934281146957,"CRE"
"ATP5F1B",50.1291169061915,36.6344733806577,-13.4946435255338,"CRE"
"MDH2",42.6039844405768,39.1826024919822,-3.42138194859452,"CRE"
"ATP5F1A",57.9170033788295,27.0743101307417,-30.8426932480878,"CRE"
"MYH1",61.142918129873,117.801081015807,56.6581628859342,"CRE"
"PFKM",7.53761843502734,30.6738731221391,23.1362546871117,"CRE"
"S100A1",31.2540244639959,74.9898127084785,43.7357882444826,"CRE"
"HSPB6",31.9251301708188,25.3101851366695,-6.61494503414932,"CRE"
"EEF1A1",22.8327872761747,64.6247590563308,41.791971780156,"CRE"
"FBP2",25.8380201717185,40.6888469838326,14.8508268121141,"CRE"
"ARF4",22.4817547635574,41.4834732200203,19.0017184564629,"CRE"
"SLC25A4",38.6110144728654,65.8108315410945,27.1998170682291,"CRE"
"TNNC2",46.4743312635257,110.450796896634,63.9764656331086,"CRE"
"PGM1",15.9612429028977,27.9312246835061,11.9699817806084,"CRE"
"YWHAE",16.7708029012799,57.0397310785244,40.2689281772444,"CRE"
"GOT1",37.2558082271703,51.366095218857,14.1102869916867,"CRE"
"CKMT2",56.7699983779863,71.3534078470435,14.5834094690572,"CRE"
"MYL6",32.7580820424655,94.7266707512369,61.9685887087714,"CRE"
"ATP2A3",38.669435099377,53.9205334993086,15.2510983999317,"CRE"
"RPS27A",33.5898799459601,62.4237350830225,28.8338551370624,"CRE"
"PDLIM3",38.45164812349,26.7974459501419,-11.6542021733481,"CRE"
"PEBP1",30.861088960021,28.1846299119815,-2.67645904803945,"CRE"
"TPM2",29.2689336382384,154.349930289766,125.080996651528,"CRE"
"SOD1",19.5727305989763,78.4960492844615,58.9233186854852,"CRE"
"GPI",17.0842523629959,17.095492656589,0.0112402935931186,"CRE"
"TUBB",27.5212965253641,90.6844559324766,63.1631594071124,"CRE"
"PARK7",21.309791346799,22.2553884402586,0.945597093459607,"CRE"
"GOT2",52.9966965877262,58.0600991240544,5.06340253632813,"CRE"
"MYL3",57.8754739248577,115.727039107444,57.8515651825863,"CRE"
"MT-CO2",49.2408045997063,20.6519135882482,-28.5888910114581,"CRE"
"PRDX1",24.5235891678877,60.1696972877059,35.6461081198182,"CRE"
"ALDOC",14.4534467098359,26.1856237466872,11.7321770368513,"CRE"
"CYCS",35.2892674599429,52.2889525745339,16.999685114591,"CRE"
"TPM1",29.662751662174,162.929383145527,133.266631483353,"CRE"
"PPIA",47.0069133131317,111.579001486808,64.5720881736759,"CRE"
"GPD1",31.296658002624,62.6094853955473,31.3128273929233,"CRE"
"CFL1",35.2664781395882,50.4108393356044,15.1443611960162,"CRE"
"VIM",95.2145161514381,114.197062206581,18.982546055143,"CRE"
"CS",42.2361316269134,55.3728940550328,13.1367624281194,"CRE"
"DECR1",62.3798009397694,44.9953619896859,-17.3844389500835,"CRE"
"HSPA8",19.2187108847888,42.762039229245,23.5433283444562,"CRE"
"HADHA",21.6939456309123,25.5553972684298,3.86145163751756,"CRE"
