"gene","dcv_CRE","dcv_PLA","mean_dcv","dist_origin"
"MB",-6.56509613718525,-41.1690024241833,-23.8670492806843,41.6891742289637
"CKM",8.72077879202772,-40.0188742442508,-15.6490477261115,40.9580551114996
"ALDOA",0.932714610025876,-2.23950119211902,-0.653393291046572,2.42596828776846
"GAPDH",-1.14718985595186,-16.2765084405131,-8.7118491482325,16.3168860871091
"CKB",-5.15555170781327,-17.4273626685439,-11.2914571881786,18.1739561734063
"CA3",-9.88726036724079,-75.2066667658574,-42.5469635665491,75.8538110024825
"FHL1",-8.21550731652096,-19.3404756643889,-13.777991490455,21.0130568788225
"ACTA1",95.5321365503648,78.6801370960115,87.1061368231882,123.761678589637
"ENO1",55.6224700688972,-89.4973965123809,-16.9374632217419,105.373825777845
"ENO3",12.222762515972,-48.1728354110524,-17.9750364475402,49.6992755989682
"ACTB",60.258933122066,-33.9497444072641,13.1545943574009,69.1644718502801
"PRDX2",76.987712001686,-121.212582082581,-22.1124350404475,143.595257074811
"PKM",-1.91180143497157,-12.2231817470752,-7.06749159102337,12.3717887449144
"TPI1",1.51617557533203,-15.8148979580641,-7.14936119136602,15.8874096629757
"ENO2",-4.69848022982775,-36.1812522976902,-20.439866263759,36.485048092324
"PGAM1",24.1531543100357,-51.0959991799149,-13.4714224349396,56.5170416362911
"CASQ1",7.03949851493557,-6.73018288498339,0.154657814976089,9.73909138508842
"PGK1",12.382350901977,-8.27914902964993,2.05160093616354,14.8951979682999
"HSPB1",3.12059561303005,-43.5471065477802,-20.2132554673751,43.6587746697474
"MYL1",63.3360177982603,18.2800422396593,40.8080300189598,65.9212491904187
"PYGM",9.41809458030808,-47.0830976136268,-18.8325015166594,48.0158160028333
"CRYAB",5.65394393272405,-60.5395063765041,-27.44278122189,60.8029515262637
"LDHA",15.3258793372465,-1.78711992827795,6.76937970448425,15.4297237531294
"MYL2",29.39426124322,2.88901728921174,16.1416392662159,29.5358936707869
"AK1",8.76357740677176,-11.1634628292407,-1.19994271123446,14.1923638377938
"FABP4",115.407588108059,-46.9016225522425,34.2529827779081,124.573968351949
"FABP3",21.7268925172926,-52.0172604748567,-15.1451839787821,56.3724511243486
"ATP2A1",14.0487412206235,-20.2017242824092,-3.07649153089284,24.6064380572753
"CA2",81.1433508485048,-46.6877364151883,17.2278072166583,93.6161744491712
"MDH1",9.01531785381984,-19.1717376889223,-5.07820991755121,21.1856432996085
"MYH7",72.7909742984467,-3.44982072583518,34.6705767863058,72.8726780237802
"PGAM2",20.99444637656,-35.8238942961767,-7.41472395980835,41.5225021067119
"PYGB",8.40000145536777,-41.9533587926143,-16.7766786686233,42.7860297110167
"PRDX6",39.6177892379049,-36.9130547293757,1.35236725426461,54.149264386074
"IDH2",-5.25658418283437,-15.0083772113705,-10.1324806971024,15.9022974374777
"MYH2",108.59814800012,10.979440835226,59.7887944176729,109.151756147623
"ATP2A2",15.3449741583683,-31.8214173942054,-8.23822161791856,35.3280460384837
"ATP5F1B",-13.3846508537467,2.1330703290301,-5.62579026235832,13.5535555300184
"MDH2",-3.05358840483216,-10.5931319741492,-6.82336018949068,11.0244658450134
"ATP5F1A",-30.5266377785087,-12.2740593672631,-21.4003485728859,32.9017955043699
"MYH1",55.4385796389885,17.5835098656002,36.5110447522943,58.1602607592343
"PFKM",23.0167933127652,-48.3123769929443,-12.6477918400895,53.5150310203677
"S100A1",43.9088487903668,99.4677292213643,71.6882890058655,108.728175550544
"HSPB6",-7.7060572145863,-38.1078178755601,-22.9069375450732,38.8791602408197
"EEF1A1",44.5638037116614,-56.0063751377042,-5.7212857130214,71.5726669708258
"FBP2",14.8080221613429,0.719003220430494,7.76351269088669,14.8254674786939
