uniprot_id,gene,protein,description,CR6_T1,CR6_T2,CR7_T1,CR7_T2,CR8_T1,CR8_T2,CR9_T2,CR10_T2,CR12_T1,CR12_T2,CR15_T1,CR17_T1,CR17_T2,CR18_T1,CR18_T2,CR22_T1,CR22_T2,CR23_T1,CR25_T1,CR25_T2,CR72_T1,CR72_T2,CR149_T1,CR149_T2,CR163_T1,CR163_T2,CR383_T1,CR386_T2,PPS2,PPS20,PPS28,PPS31,PPS32,PPS37,PPS40,PPS41,PPS42,PPS44
A0AVT1,UBA6,UBA6_HUMAN,Ubiquitin-like modifier-activating enzyme 6,19.307072029271325,18.977002883292787,18.54131278463888,18.854990302931515,18.995082780363408,19.554484932590448,18.142134267449553,17.88957156844353,19.91510681021671,19.014063283727697,18.555415125032955,18.944712735927215,18.820577639809628,19.070862146563982,18.79372098106228,18.56536756057781,18.116402865155177,18.190875652588012,18.70597772733111,20.00584507249046,18.807089891597435,18.447319103283775,18.803693715898337,18.918497035475806,17.17771812904727,18.9151891095384,20.104908702911185,18.61667260325222,19.274144185504504,19.407782630183675,19.296472979557436,19.743675657906607,19.55966977229183,17.67891202266655,19.343420491055692,19.9786208239159,19.366975588066655,19.7762575232211
A0FGR8,ESYT2,ESYT2_HUMAN,Extended synaptotagmin-2,16.28402837777544,16.452440454312672,15.900890154059551,16.695556269133906,16.330173043536156,16.283657269507984,17.03863960784766,16.31086775935769,16.419577606740354,16.849480469053265,17.5631342064723,16.10011194314845,16.327026395926556,16.35844604065224,16.37189391275842,16.459306364363794,16.669001329092872,16.80598480602897,16.92787053257183,17.275071364890835,16.493001218975426,16.537938872309542,16.419766100001148,15.840222023766389,16.027595547822827,16.280696730164408,16.29220188592198,17.238389647840073,16.354345093786232,16.452048255117813,16.17735284886752,16.50534791471914,16.2840985713432,16.55289764144107,16.25362604122809,16.533519193777213,16.24479054561622,16.39611173049749
A1L0T0,ILVBL,ILVBL_HUMAN,Acetolactate synthase-like protein,16.657587567107406,16.669304628228176,17.505684480592272,16.342927674760546,18.244027973804865,18.170526955422456,16.20265233479891,16.74601475993452,17.27725336275611,16.662732146109025,15.762397469221112,16.64102496859208,16.687224812337448,16.74870624940617,16.790432064145673,16.652059684376756,16.549352655288473,16.2802532493698,16.681449581931002,16.636759938642626,16.137640667243286,16.86804203597161,16.77410444748263,16.743925076066517,17.07861660507732,17.06706336149288,16.241431224028613,16.843098917328614,16.761015325204106,16.87088947648548,16.89281862800789,16.95208832252588,16.7155214852591,16.38870727265556,17.662779494809207,16.87751481642417,17.01502825886991,16.883166628099556
A2RTX5,TARS3,SYTC2_HUMAN,"Threonine--tRNA ligase 2, cytoplasmic",13.123556700609955,13.11357447025462,13.207490329054242,13.286732120748583,13.282412367429693,13.23478639569335,13.158889737901582,13.277750993207132,13.358539716194889,13.333854095756118,13.279901152491526,13.23105848027599,13.153905909466404,13.294857804645739,13.161609242549455,13.170588183395505,12.550397220102877,13.202368809608975,13.22359750170582,13.223271562128666,13.21876724469137,13.177403852706886,13.206245029558374,13.193136714269617,13.291124105177945,13.197241229469162,13.177319369331517,13.19573514740567,12.983263465184235,13.186034600873006,12.90925226145493,12.386431618796166,13.19047786594924,13.32596607756441,14.265418409389191,13.882230768379609,14.0721317949485,13.206653758416346
A5D6W6,FITM1,FITM1_HUMAN,Fat storage-inducing transmembrane protein 1,16.66152878287663,16.596530487836173,16.463303419385248,16.51822497264184,16.581530502799097,16.546312147454827,16.492218404686568,16.64656538382535,16.585984216377785,16.938167483915024,16.52176979528663,17.206134211889236,16.663523993353223,16.770211384164003,16.457484399722578,16.411900349174413,15.342938914817514,16.434393792507063,16.45974635525692,16.646463597258773,15.494122005273791,16.41109200933729,16.537694750442963,16.506121585661948,16.588830033825428,16.387799696268495,16.870631974888088,16.393054742571486,17.032453251294,16.82573513567659,16.302494808028605,17.865989158229112,17.167456043217303,17.374468171297323,16.616415281716442,18.488147317262587,16.730049110068197,16.39291203218328
A5D8V6,VPS37C,VP37C_HUMAN,Vacuolar protein sorting-associated protein 37C,16.334519021997224,16.216834674856663,16.35255957350327,16.635951024913425,17.44502167748608,16.50179942891279,16.313017448217405,16.37691424990606,16.806324896067622,16.482756040549113,16.38607640991464,15.764470301999632,15.743672310351652,16.239831351411127,16.31616159550963,16.31979807678011,16.529791210345344,16.337860935070776,16.466030723544648,16.471261136551043,15.971002069655665,16.426971789154972,16.403934506384914,16.291859513086866,16.602467368807556,16.351251472034072,15.619930085549704,16.266845122779195,16.86892014034371,16.56828114058034,15.968373822236888,16.998505491039253,16.338795725049735,17.410594069413253,16.93483582388626,17.605916574037323,17.33826953753864,16.015304837712044
A5YM72,CARNS1,CRNS1_HUMAN,Carnosine synthase 1,17.645567659137658,19.005842834368625,18.536748721073618,17.963053028730652,17.971926817385285,19.293974249251782,18.476080236027975,17.77728670716404,18.01425389702416,17.333889525785782,18.483320782232113,18.313929093438293,19.70082261742225,19.18417702580503,19.348018392932435,18.568640758345403,19.09225981065588,18.439288876133684,18.42667385007995,18.641875677082503,18.508414613911253,18.23759068610391,18.487129776640998,18.615343297746797,18.3584932273102,18.552774427597686,19.097216776733895,18.631397601850278,17.985054723572922,19.312573385575636,18.86430013695812,18.22774037573527,17.55989823290784,17.876111606307703,19.084452086761136,17.217519826702375,17.590810403324,18.571111300515756
A6NCE7,MAP1LC3B2,MP3B2_HUMAN,Microtubule-associated proteins 1A/1B light chain 3 beta 2,19.195414737923347,20.16772840510914,17.166432392553105,19.41098903654122,19.964329316911968,18.328055936026196,18.96840441257798,18.75699690468537,20.28430710704596,19.848488421175517,19.836549449119087,20.07372372862312,19.67027246352667,19.494979522248887,19.15744281440671,19.755329734905978,19.726565249239783,19.196390381095533,19.59232268082941,19.566996105060053,18.504259910268622,19.528401246917237,19.983599310126813,19.761575901642097,19.329755874693756,19.80651490052208,20.43591314459573,19.59235100940057,19.709733443723714,19.510257403674647,19.402614370946676,19.350520637056334,20.00711702094333,19.69591344035631,19.21153319468015,19.80140259669576,19.37745204655858,19.09986455022156
A6NDG6,PGP,PGP_HUMAN,Glycerol-3-phosphate phosphatase,21.018427733891127,20.609065085022515,19.531430347590657,21.124328240443734,21.64241363618444,21.556722921461255,20.06566070424624,21.18833590626183,21.090278134590537,20.705924681297,20.00905419563625,20.965686903867024,20.967891955493055,21.217433135212417,20.88980823001217,20.343047738787774,21.19984871014267,20.324058700759835,21.179017236964597,20.790280143896812,20.76556131149563,20.44646000954355,20.94164865018166,20.65259891249349,21.20753704008903,21.009232333952767,21.394846964554983,20.697372094651115,21.52294899765408,20.741540609195603,20.5241439721095,21.133803790364706,20.217416913646037,20.550956340282895,21.308137466559057,20.758172762798292,20.796661712244724,21.460673743493683
A6NHX0,CASTOR2,CAST2_HUMAN,Cytosolic arginine sensor for mTORC1 subunit 2,14.698806441073875,14.557742912790854,14.476804364530691,14.024787678266009,14.574035501088904,14.565846617317803,14.49098559077935,14.62342989574688,15.147561120089836,13.91703438266306,14.485955794916444,14.706767748005081,14.668060356272024,14.758826210451907,14.521548858738171,14.53354570989198,14.533095885387045,14.509295888298983,14.537532706998322,14.510005681030714,14.256496116132771,14.474448681417128,14.615977866324043,14.619169603673202,14.626238925139019,14.587718601619647,14.906782903340435,14.475403641320483,15.223040582108515,15.357600399842758,14.717268258699846,14.804875177805975,15.17977218995155,14.557062154925749,14.16415401024172,15.490748795081876,15.044235442064874,14.721188013602923
A6NNS2,DHRS7C,DRS7C_HUMAN,Dehydrogenase/reductase SDR family member 7C,20.581813923870545,21.01306967731576,19.253713365178864,20.18777495534651,20.023705297345774,20.16097623780084,18.893217507875747,19.922387395122115,20.362172195738086,20.317861255782798,17.99218959525253,19.60062921767788,20.27140115670594,20.187909904491647,20.44744435790988,20.0623111622438,20.110637951717827,17.15374794504855,19.652939646146777,19.524392354444466,19.946330114949763,18.20857469198572,20.026591419698573,20.481628178476132,20.24107272544655,19.973881048785152,20.95865854964896,19.93660778510107,20.68082014217699,20.639178058889115,20.489236910813325,20.73780198399583,20.563828680926484,20.276968358586096,20.500846281651867,20.981957423205333,20.299163843908712,20.860928188453528
A8MU46,SMTNL1,SMTL1_HUMAN,Smoothelin-like protein 1,21.77885066476148,21.621026425370417,20.205867835108975,21.641399453579115,20.324881609228587,19.912746031320673,19.1174888128088,21.41036300281845,22.17349715280733,21.28099742887315,19.073549641139135,21.77833110940626,20.982267623825372,22.239373037025302,21.205887494475977,20.891573557126453,20.855929599793047,20.53192899094895,21.7866395471334,21.414137418561225,21.881259640312003,19.77554895004795,20.60914996797448,20.813676499531255,21.58715685690656,21.1868763378323,22.337791381878684,20.44860444218383,23.284440195108807,22.425952044185923,21.894455908532517,22.411919874981525,22.290890412153153,22.603492377136696,21.71037354945939,22.734241743213673,22.673079697578007,22.049862178042577
A8MXV4,NUDT19,NUD19_HUMAN,Nucleoside diphosphate-linked moiety X motif 19,14.488008597996584,14.801218246920664,14.482799968900201,14.71621773199608,14.94049670573133,16.718708970223567,14.408179221238147,14.445516146028075,14.34603553844235,14.417909344492237,14.400375987273598,14.538872322305071,14.577217082940408,14.304432407093238,14.639663638823787,14.389651903084419,14.498914309522615,14.373744361121332,14.209320610317294,14.439096915649456,14.33977299685256,13.91588432166916,14.579772633457843,14.608481017388971,15.207428440458555,15.183869120350842,14.658056467458657,14.5584970670034,14.38417294002098,15.02224310196485,15.278491919222114,14.69940122856182,15.005107611907412,14.869161275474898,15.321757019438202,14.378611823642029,14.219394886497524,15.421667639311725
