uniprot_id,gene,protein,description
Q9UMX0,UBQLN1,UBQL1_HUMAN,Ubiquilin-1
Q9UMX5,NENF,NENF_HUMAN,Neudesin
Q9UMY4,SNX12,SNX12_HUMAN,Sorting nexin-12
Q9UN36,NDRG2,NDRG2_HUMAN,Protein NDRG2
Q9UN37,VPS4A,VPS4A_HUMAN,Vacuolar protein sorting-associated protein 4A
Q9UN86,G3BP2,G3BP2_HUMAN,Ras GTPase-activating protein-binding protein 2
Q9UNE7,STUB1,CHIP_HUMAN,E3 ubiquitin-protein ligase CHIP
Q9UNF0,PACSIN2,PACN2_HUMAN,Protein kinase C and casein kinase substrate in neurons protein 2
Q9UNH7,SNX6,SNX6_HUMAN,Sorting nexin-6
Q9UNM6,PSMD13,PSD13_HUMAN,26S proteasome non-ATPase regulatory subunit 13
Q9UNN5,FAF1,FAF1_HUMAN,FAS-associated factor 1
Q9UNN8,PROCR,EPCR_HUMAN,Endothelial protein C receptor
Q9UNS2,COPS3,CSN3_HUMAN,COP9 signalosome complex subunit 3
Q9UNZ2,NSFL1C,NSF1C_HUMAN,NSFL1 cofactor p47
Q9UPQ0,LIMCH1,LIMC1_HUMAN,LIM and calponin homology domains-containing protein 1
Q9UPR0,PLCL2,PLCL2_HUMAN,Inactive phospholipase C-like protein 2
Q9UPU5,USP24,UBP24_HUMAN,Ubiquitin carboxyl-terminal hydrolase 24
Q9UPY8,MAPRE3,MARE3_HUMAN,Microtubule-associated protein RP/EB family member 3
Q9UQ13,SHOC2,SHOC2_HUMAN,Leucine-rich repeat protein SHOC-2
Q9UQ49,NEU3,NEUR3_HUMAN,Sialidase-3
Q9UQ80,PA2G4,PA2G4_HUMAN,Proliferation-associated protein 2G4
Q9UQ90,SPG7,SPG7_HUMAN,Paraplegin
Q9UQM7,CAMK2A,KCC2A_HUMAN,Calcium/calmodulin-dependent protein kinase type II subunit alpha
Q9UQN3,CHMP2B,CHM2B_HUMAN,Charged multivesicular body protein 2b
Q9Y224,RTRAF,RTRAF_HUMAN,"RNA transcription, translation and transport factor protein"
Q9Y230,RUVBL2,RUVB2_HUMAN,RuvB-like 2
Q9Y235,APOBEC2,ABEC2_HUMAN,C->U-editing enzyme APOBEC-2
Q9Y237,PIN4,PIN4_HUMAN,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4
Q9Y262,EIF3L,EIF3L_HUMAN,Eukaryotic translation initiation factor 3 subunit L
Q9Y263,PLAA,PLAP_HUMAN,Phospholipase A-2-activating protein
Q9Y265,RUVBL1,RUVB1_HUMAN,RuvB-like 1
Q9Y266,NUDC,NUDC_HUMAN,Nuclear migration protein nudC
Q9Y276,BCS1L,BCS1_HUMAN,Mitochondrial chaperone BCS1
Q9Y277,VDAC3,VDAC3_HUMAN,Voltage-dependent anion-selective channel protein 3
Q9Y281,CFL2,COF2_HUMAN,Cofilin-2
Q9Y285,FARSA,SYFA_HUMAN,Phenylalanine--tRNA ligase alpha subunit
Q9Y295,DRG1,DRG1_HUMAN,Developmentally-regulated GTP-binding protein 1
Q9Y2B0,CNPY2,CNPY2_HUMAN,Protein canopy homolog 2
Q9Y2E4,DIP2C,DIP2C_HUMAN,Disco-interacting protein 2 homolog C
Q9Y2H1,STK38L,ST38L_HUMAN,Serine/threonine-protein kinase 38-like
Q9Y2J2,EPB41L3,E41L3_HUMAN,Band 4.1-like protein 3
Q9Y2J8,PADI2,PADI2_HUMAN,Protein-arginine deiminase type-2
Q9Y2Q3,GSTK1,GSTK1_HUMAN,Glutathione S-transferase kappa 1
Q9Y2Q5,LAMTOR2,LTOR2_HUMAN,Ragulator complex protein LAMTOR2
Q9Y2Q9,MRPS28,RT28_HUMAN,"28S ribosomal protein S28, mitochondrial"
Q9Y2R0,COA3,COA3_HUMAN,"Cytochrome c oxidase assembly factor 3 homolog, mitochondrial"
Q9Y2R5,MRPS17,RT17_HUMAN,"28S ribosomal protein S17, mitochondrial"
Q9Y2S2,CRYL1,CRYL1_HUMAN,Lambda-crystallin homolog
Q9Y2S6,TMA7,TMA7_HUMAN,Translation machinery-associated protein 7
Q9Y2S7,POLDIP2,PDIP2_HUMAN,Polymerase delta-interacting protein 2
Q9Y2V2,CARHSP1,CHSP1_HUMAN,Calcium-regulated heat-stable protein 1
Q9Y2Z0,SUGT1,SGT1_HUMAN,Protein SGT1 homolog
Q9Y2Z9,COQ6,COQ6_HUMAN,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial"
Q9Y305,ACOT9,ACOT9_HUMAN,"Acyl-coenzyme A thioesterase 9, mitochondrial"
Q9Y315,DERA,DEOC_HUMAN,Deoxyribose-phosphate aldolase
Q9Y316,MEMO1,MEMO1_HUMAN,Protein MEMO1
Q9Y333,LSM2,LSM2_HUMAN,U6 snRNA-associated Sm-like protein LSm2
Q9Y365,STARD10,STA10_HUMAN,START domain-containing protein 10
Q9Y371,SH3GLB1,SHLB1_HUMAN,Endophilin-B1
Q9Y376,CAB39,CAB39_HUMAN,Calcium-binding protein 39
Q9Y383,LUC7L2,LC7L2_HUMAN,Putative RNA-binding protein Luc7-like 2
Q9Y394,DHRS7,DHRS7_HUMAN,Dehydrogenase/reductase SDR family member 7
Q9Y399,MRPS2,RT02_HUMAN,"28S ribosomal protein S2, mitochondrial"
Q9Y3A3,MOB4,PHOCN_HUMAN,MOB-like protein phocein
Q9Y3A5,SBDS,SBDS_HUMAN,Ribosome maturation protein SBDS
Q9Y3A6,TMED5,TMED5_HUMAN,Transmembrane emp24 domain-containing protein 5
Q9Y3B3,TMED7,TMED7_HUMAN,Transmembrane emp24 domain-containing protein 7
Q9Y3B7,MRPL11,RM11_HUMAN,"39S ribosomal protein L11, mitochondrial"
Q9Y3B8,REXO2,ORN_HUMAN,"Oligoribonuclease, mitochondrial"
Q9Y3C4,TPRKB,TPRKB_HUMAN,EKC/KEOPS complex subunit TPRKB
Q9Y3C6,PPIL1,PPIL1_HUMAN,Peptidyl-prolyl cis-trans isomerase-like 1
Q9Y3D2,MSRB2,MSRB2_HUMAN,"Methionine-R-sulfoxide reductase B2, mitochondrial"
Q9Y3D3,MRPS16,RT16_HUMAN,"28S ribosomal protein S16, mitochondrial"
Q9Y3D6,FIS1,FIS1_HUMAN,Mitochondrial fission 1 protein
Q9Y3D7,PAM16,TIM16_HUMAN,Mitochondrial import inner membrane translocase subunit TIM16
Q9Y3D9,MRPS23,RT23_HUMAN,"28S ribosomal protein S23, mitochondrial"
Q9Y3E1,HDGFL3,HDGR3_HUMAN,Hepatoma-derived growth factor-related protein 3
Q9Y3E7,CHMP3,CHMP3_HUMAN,Charged multivesicular body protein 3
Q9Y3F4,STRAP,STRAP_HUMAN,Serine-threonine kinase receptor-associated protein
Q9Y3I0,RTCB,RTCB_HUMAN,RNA-splicing ligase RtcB homolog
Q9Y3I1,FBXO7,FBX7_HUMAN,F-box only protein 7
Q9Y3S2,ZNF330,ZN330_HUMAN,Zinc finger protein 330
Q9Y3U8,RPL36,RL36_HUMAN,60S ribosomal protein L36
Q9Y3Z3,SAMHD1,SAMH1_HUMAN,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1
Q9Y450,HBS1L,HBS1L_HUMAN,HBS1-like protein
Q9Y490,TLN1,TLN1_HUMAN,Talin-1
Q9Y4E8,USP15,UBP15_HUMAN,Ubiquitin carboxyl-terminal hydrolase 15
Q9Y4G6,TLN2,TLN2_HUMAN,Talin-2
Q9Y4J8,DTNA,DTNA_HUMAN,Dystrobrevin alpha
Q9Y4L1,HYOU1,HYOU1_HUMAN,Hypoxia up-regulated protein 1
Q9Y4P1,ATG4B,ATG4B_HUMAN,Cysteine protease ATG4B
Q9Y4W6,AFG3L2,AFG32_HUMAN,AFG3-like protein 2
Q9Y4X5,ARIH1,ARI1_HUMAN,E3 ubiquitin-protein ligase ARIH1
Q9Y508,RNF114,RN114_HUMAN,E3 ubiquitin-protein ligase RNF114
Q9Y512,SAMM50,SAM50_HUMAN,Sorting and assembly machinery component 50 homolog
Q9Y570,PPME1,PPME1_HUMAN,Protein phosphatase methylesterase 1
Q9Y5J7,TIMM9,TIM9_HUMAN,Mitochondrial import inner membrane translocase subunit Tim9
Q9Y5J9,TIMM8B,TIM8B_HUMAN,Mitochondrial import inner membrane translocase subunit Tim8 B
Q9Y5K5,UCHL5,UCHL5_HUMAN,Ubiquitin carboxyl-terminal hydrolase isozyme L5
Q9Y5K8,ATP6V1D,VATD_HUMAN,V-type proton ATPase subunit D
Q9Y5L4,TIMM13,TIM13_HUMAN,Mitochondrial import inner membrane translocase subunit Tim13
Q9Y5M8,SRPRB,SRPRB_HUMAN,Signal recognition particle receptor subunit beta
Q9Y5P6,GMPPB,GMPPB_HUMAN,Mannose-1-phosphate guanyltransferase beta
Q9Y5S9,RBM8A,RBM8A_HUMAN,RNA-binding protein 8A
Q9Y5U8,MPC1,MPC1_HUMAN,Mitochondrial pyruvate carrier 1
Q9Y5X1,SNX9,SNX9_HUMAN,Sorting nexin-9
Q9Y5X3,SNX5,SNX5_HUMAN,Sorting nexin-5
Q9Y5Y2,NUBP2,NUBP2_HUMAN,Cytosolic Fe-S cluster assembly factor NUBP2
Q9Y5Y7,LYVE1,LYVE1_HUMAN,Lymphatic vessel endothelial hyaluronic acid receptor 1
Q9Y5Z4,HEBP2,HEBP2_HUMAN,Heme-binding protein 2
Q9Y613,FHOD1,FHOD1_HUMAN,FH1/FH2 domain-containing protein 1
Q9Y623,MYH4,MYH4_HUMAN,Myosin-4
Q9Y639,NPTN,NPTN_HUMAN,Neuroplastin
Q9Y676,MRPS18B,RT18B_HUMAN,"28S ribosomal protein S18b, mitochondrial"
Q9Y678,COPG1,COPG1_HUMAN,Coatomer subunit gamma-1
Q9Y696,CLIC4,CLIC4_HUMAN,Chloride intracellular channel protein 4
Q9Y6A9,SPCS1,SPCS1_HUMAN,Signal peptidase complex subunit 1
Q9Y6B6,SAR1B,SAR1B_HUMAN,GTP-binding protein SAR1b
Q9Y6C9,MTCH2,MTCH2_HUMAN,Mitochondrial carrier homolog 2
Q9Y6E0,STK24,STK24_HUMAN,Serine/threonine-protein kinase 24
Q9Y6E2,BZW2,BZW2_HUMAN,Basic leucine zipper and W2 domain-containing protein 2
Q9Y6G9,DYNC1LI1,DC1L1_HUMAN,Cytoplasmic dynein 1 light intermediate chain 1
Q9Y6H1,CHCHD2,CHCH2_HUMAN,Coiled-coil-helix-coiled-coil-helix domain-containing protein 2
Q9Y6I3,EPN1,EPN1_HUMAN,Epsin-1
Q9Y6M9,NDUFB9,NDUB9_HUMAN,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9
Q9Y6N1,COX11,COX11_HUMAN,"Cytochrome c oxidase assembly protein COX11, mitochondrial"
Q9Y6N5,SQOR,SQOR_HUMAN,"Sulfide:quinone oxidoreductase, mitochondrial"
Q9Y6P5,SESN1,SESN1_HUMAN,Sestrin-1
Q9Y6X5,ENPP4,ENPP4_HUMAN,Bis(5'-adenosyl)-triphosphatase ENPP4
Q9Y6Y8,SEC23IP,S23IP_HUMAN,SEC23-interacting protein
